index,Datetime,Open,High,Low,Close,Volume,RSI,Momentum
13,2024-08-18,59497.49,60284.99,58422.0,58437.9,4325.64817169,55.74057760097094,-252.72000000000116
14,2024-08-19,58436.2,59639.81,57820.0,59452.67,8539.29378706,59.289669176637624,1909.0599999999977
15,2024-08-20,59455.81,61457.03,58571.96,59017.59,11062.05279919,57.17283247886565,128.59999999999854
16,2024-08-21,59017.59,61849.98,58793.89,61163.28,13380.11101719,63.999376457878455,1665.7900000000009
17,2024-08-22,61167.54,61430.48,59750.0,60383.29,9608.6955368,60.24034686197223,1945.3899999999994
18,2024-08-23,60383.28,64987.0,60343.2,64086.72,17852.77117167,69.42343066429734,4634.050000000003
19,2024-08-24,64091.63,64529.78,63564.22,64179.63,5020.91676004,69.6130471597742,5162.040000000001
20,2024-08-25,64179.63,65050.08,63793.74,64251.93,4012.30764642,69.77014994078449,3088.6500000000015
21,2024-08-26,64250.01,64509.36,62806.8,62840.0,10741.96651081,62.92789179258382,2456.709999999999
22,2024-08-27,62840.09,63226.26,58025.49,59439.64,14195.89496578,50.16785918999741,-4647.080000000002
23,2024-08-28,59437.68,60236.98,57851.62,59045.88,10001.12169866,48.93054488271796,-5133.75
24,2024-08-29,59047.94,61194.09,58729.39,59364.47,10933.22040343,50.004946686383896,-4887.459999999999
25,2024-08-30,59353.12,59929.63,57700.0,59112.77,9382.9124508,49.12562188079808,-3727.230000000003
26,2024-08-31,59117.59,59446.99,58739.31,58968.37,1368.21775121,48.59763858328571,-471.2699999999968
27,2024-09-01,58968.37,59070.55,57200.0,57299.0,4411.05388122,42.86231598131308,-1746.8799999999974
28,2024-09-02,57291.21,59423.0,57119.01,59139.83,4318.6544603,49.88575248073798,-224.63999999999942
29,2024-09-03,59138.89,59825.7,57394.49,57468.84,8264.44971184,44.53435681593525,-1643.9300000000003
30,2024-09-04,57460.5,58531.25,55555.0,57971.0,13715.96171494,46.39535482585078,-997.3700000000026
31,2024-09-05,57971.0,58326.12,55628.04,56156.82,12281.57828747,41.03821196369333,-1142.1800000000003
32,2024-09-06,56156.82,56995.0,52530.0,53950.01,18495.45064356,35.64630383319292,-5189.82
33,2024-09-07,53950.0,54847.0,53733.1,54156.33,3284.57722628,36.486500902771326,-3312.5099999999948
34,2024-09-08,54159.6,55315.95,53623.95,54881.11,3684.86816392,39.47591090669313,-3089.8899999999994
35,2024-09-09,54881.1,58119.97,54565.56,57053.9,10203.03329517,47.45968680144913,897.0800000000017
36,2024-09-10,57047.82,58050.35,56377.76,57645.59,6433.21371111,49.41650321814597,3695.5799999999945
37,2024-09-11,57641.15,58014.35,55534.41,57352.79,11678.94297124,48.45476810684998,3196.459999999999
38,2024-09-12,57352.92,58600.0,57311.15,58137.54,10175.62390483,51.19622733694978,3256.4300000000003
39,2024-09-13,58137.33,60670.0,57630.01,60543.35,11935.95544754,58.4858368715456,3489.449999999997
40,2024-09-14,60543.35,60660.0,59436.8,60012.35,3147.39019631,56.48058943520314,2366.760000000002
41,2024-09-15,60012.34,60402.34,58695.75,59122.33,3975.3568185,53.188833300632446,1769.5400000000009
42,2024-09-16,59122.7,59214.15,57477.0,58208.75,7654.10991835,49.96950699181087,71.20999999999913
43,2024-09-17,58209.76,61373.41,57620.27,60312.6,11701.89074715,56.49922467081624,-230.75
44,2024-09-18,60317.38,61800.0,59174.5,61769.18,11471.50683029,60.3569470295135,1756.8300000000017
45,2024-09-19,61770.38,63891.82,61569.16,62960.14,15075.86835522,63.22835281650887,3837.8099999999977
46,2024-09-20,62956.04,64140.67,62340.0,63210.69,10636.1082809,63.82203434373891,5001.940000000002
47,2024-09-21,63210.94,63575.63,62755.0,63362.74,1960.85712028,64.19978289932396,3050.1399999999994
48,2024-09-22,63362.74,64000.0,62380.55,63577.66,2882.2341982,64.75988992126247,1808.4800000000032
49,2024-09-23,63580.39,64739.67,62566.28,63338.87,7014.74459935,63.569852689327746,378.7300000000032
50,2024-09-24,63338.85,64700.0,62689.15,64272.93,8933.46473574,66.18729816861668,1062.239999999998
51,2024-09-25,64272.93,64811.0,62932.8,63130.89,5909.09510453,60.46690738638023,-231.84999999999854
52,2024-09-26,63131.13,65865.0,62652.99,65177.21,12789.85035505,66.11760495131543,1599.5499999999956
53,2024-09-27,65176.39,66550.0,64827.85,65789.0,9529.0168808,67.6082990641899,2450.1299999999974
54,2024-09-28,65787.53,66266.39,65400.0,65858.99,2755.22680581,67.78292903892233,1586.060000000005
55,2024-09-29,65857.33,66059.0,65433.29,65600.01,2721.35197741,66.35735743449325,2469.1199999999953
56,2024-09-30,65600.01,65624.95,62833.95,63301.25,10629.74147917,55.24995043565495,-1875.9599999999991
57,2024-10-01,63305.52,64106.75,60150.89,60790.0,15970.80295516,46.15984454897511,-4999.0
58,2024-10-02,60792.63,62380.34,59969.2,60631.37,8764.03050337,45.648930652078356,-5227.620000000003
59,2024-10-03,60631.36,61474.92,59824.87,60744.99,7834.55718072,46.10903200119655,-4855.019999999997
60,2024-10-04,60745.0,62481.0,60454.5,62090.71,7884.21831808,51.360919070280616,-1210.5400000000009
61,2024-10-05,62090.7,62380.04,61686.34,62051.29,1783.56564961,51.20350422939866,1261.2900000000009
62,2024-10-06,62051.29,62978.75,61805.85,62810.86,2086.21821773,54.12133138216536,2179.489999999998
63,2024-10-07,62810.93,64467.02,62113.28,62200.28,10707.1500015,51.45766134641707,1455.2900000000009
64,2024-10-08,62203.82,63191.05,61824.48,62122.02,6566.33034742,51.11044229587224,31.30999999999767
65,2024-10-09,62118.44,62507.68,60255.0,60578.28,7582.36723494,44.70268431258207,-1473.010000000002
66,2024-10-10,60578.28,61271.59,58863.9,60279.53,10462.57962276,43.56441050431333,-2531.3300000000017
67,2024-10-11,60279.53,63416.7,60029.98,62518.75,11454.9900534,53.18628671342462,318.47000000000116
68,2024-10-12,62518.75,63474.25,62464.15,63187.47,3943.90648994,55.61977059126076,1065.4500000000044
69,2024-10-13,63183.08,63270.18,62033.0,62845.3,2257.61460657,54.07094802572826,2267.020000000004
70,2024-10-14,62847.89,66500.0,62426.67,66065.65,13638.71106556,64.18060734266574,5786.119999999995
71,2024-10-15,66065.64,67944.76,64778.44,67056.6,16324.01191342,66.6157479371652,4537.850000000006
72,2024-10-16,67056.62,68399.0,66743.0,67608.44,12465.75691229,67.92353906502399,4420.970000000001
73,2024-10-17,67608.45,67926.99,66629.97,67402.33,7912.22639285,66.86988539431312,4557.029999999999
74,2024-10-18,67399.86,69000.62,67149.24,68426.11,11802.74441943,69.40835879246777,2360.4600000000064
75,2024-10-19,68426.11,68689.29,68005.83,68363.73,1868.86958754,69.06113712693289,1307.12999999999
76,2024-10-20,68363.73,69380.0,68083.18,69014.86,2632.89214855,70.708336237834,1406.4199999999983
77,2024-10-21,69014.87,69498.0,66802.0,67346.15,10226.59346669,61.64955914109628,-56.18000000000757
78,2024-10-22,67346.15,67800.0,66535.0,67380.08,8598.06472763,61.75684447300413,-1046.0299999999988
79,2024-10-23,67389.7,67415.65,65149.51,66601.11,9021.17140157,57.7617084148885,-1762.6199999999953
80,2024-10-24,66601.1,68800.0,66445.32,68156.84,10016.19830413,62.92081848431728,-858.0200000000041
81,2024-10-25,68156.84,68742.38,65500.01,66564.51,14485.49253537,55.454768690316435,-781.6399999999994
82,2024-10-26,66564.51,67365.18,66331.95,67012.56,2949.2199701,57.00085737747029,-367.5200000000041
83,2024-10-27,67008.15,68261.37,66836.78,67943.19,2819.59766921,60.098674375357845,1342.0800000000017
84,2024-10-28,67943.18,70235.98,67532.48,69924.5,16140.14013624,65.7552101057097,1767.6600000000035
85,2024-10-29,69924.49,73624.98,69705.76,72724.35,20616.91187006,71.83213832658976,6159.840000000011
86,2024-10-30,72724.35,72948.6,71400.01,72322.91,13543.49337837,69.91638697570876,5310.350000000006
87,2024-10-31,72322.91,72684.02,69559.33,70197.83,14726.78460342,60.689167529752744,2254.6399999999994
88,2024-11-01,70198.02,71620.0,68720.0,69467.29,15295.28781188,57.86207963985757,-457.2100000000064
89,2024-11-02,69466.64,69891.92,69000.0,69358.94,2203.99644104,57.434740773169764,-3365.4100000000035
90,2024-11-03,69360.95,69364.65,67444.0,68738.18,6758.88506466,54.93162854399648,-3584.7300000000105
91,2024-11-04,68736.4,69453.94,66783.77,67807.48,12431.01371517,51.320311533052234,-2390.350000000006
92,2024-11-05,67810.15,70557.67,67427.53,69380.73,12867.66127618,56.523509272959544,-86.55999999999767
93,2024-11-06,69380.64,76509.56,69285.82,75646.55,45398.11837369,70.18983522742211,6287.610000000001
94,2024-11-07,75646.55,76999.0,74463.96,75920.0,21932.40207681,70.62382277535988,7181.820000000007
95,2024-11-08,75925.0,77312.18,75654.26,76566.73,18378.39876264,71.67415229340097,8759.25
96,2024-11-09,76566.72,76952.67,75758.58,76716.06,4836.57005338,71.92377138745482,7335.330000000002
97,2024-11-10,76716.06,81534.28,76535.33,80428.92,16728.21105103,77.28389640731531,4782.369999999995
98,2024-11-11,80427.69,89666.0,80277.34,88770.73,35560.11866694,84.46152459503068,12850.729999999996
99,2024-11-12,88770.74,90100.0,85010.0,88035.43,40111.80924643,82.00194860383951,11468.699999999997
100,2024-11-13,88035.43,93495.0,86220.5,90493.82,42318.6909168,83.70997286204897,13777.76000000001
101,2024-11-14,90499.4,91831.25,86672.07,87340.4,23422.75915863,74.007943125153,6911.479999999996
102,2024-11-15,87338.96,91934.62,87100.83,91058.36,20388.33115227,77.34227805363723,2287.6300000000047
103,2024-11-16,91058.36,91820.73,90069.21,90636.24,6598.0269304,76.14789840481048,2600.810000000012
104,2024-11-17,90638.54,91439.82,88713.64,89886.69,5574.55122824,73.96369345258822,-607.1300000000047
105,2024-11-18,89877.11,92674.8,89372.65,90520.3,17340.77166451,74.62625486169325,3179.9000000000087
106,2024-11-19,90521.32,94105.84,90403.24,92435.89,18267.16111244,76.56770734208641,1377.5299999999988
107,2024-11-20,92445.04,94989.99,91600.0,94393.15,20329.039987,78.38732969406044,3756.909999999989
108,2024-11-21,94384.15,99073.53,94127.2,98439.09,31188.09394751,81.57284921332742,8552.399999999994
109,2024-11-22,98439.1,99860.0,97209.52,99024.03,29936.62215019,81.98623254411122,8503.729999999996
110,2024-11-23,99024.03,99044.11,97215.01,97778.77,12072.47203722,77.97582815307825,5342.880000000005
111,2024-11-24,97778.78,98700.0,95780.77,98028.18,8654.77135767,78.20577485128817,3635.029999999999
112,2024-11-25,98032.06,98999.0,92534.93,93000.01,20695.912495,63.75414606281641,-5439.080000000002
113,2024-11-26,93001.48,95004.92,90682.58,91929.54,17848.01962899,61.16286210923036,-7094.490000000005
114,2024-11-27,91929.53,97386.06,91747.46,95951.19,15213.90946356,66.64751583642092,-1827.5800000000017
115,2024-11-28,95951.19,96676.31,94671.59,95665.53,5586.55288339,65.93523802030933,-2362.649999999994
116,2024-11-29,95665.53,98750.0,95383.46,97490.56,12587.02498942,68.2684890368507,4490.550000000003
117,2024-11-30,97489.8,97509.6,96129.73,96465.42,3476.04255853,65.55240868208057,4535.880000000005
118,2024-12-01,96464.95,97895.9,95753.42,97263.18,4039.27591451,66.66391188730316,1311.9899999999907
119,2024-12-02,97259.17,98200.0,94400.63,95862.89,15554.61486745,62.83160377546168,197.36000000000058
120,2024-12-03,95862.89,96310.1,93571.3,95924.52,17898.7046212,62.932603588519314,-1566.0399999999936
121,2024-12-04,95924.85,99263.2,94634.85,98746.24,17528.92050771,67.31224251389287,2280.820000000007
122,2024-12-05,98746.24,104000.0,92055.86,97044.23,36399.8182427,62.514264794895325,-218.9499999999971
123,2024-12-06,97049.47,102104.12,96424.2,99891.35,17801.21293952,66.77998477143643,4028.4600000000064
124,2024-12-07,99885.37,100583.27,99012.73,99929.32,4774.3508777,66.83418940767791,4004.800000000003
125,2024-12-08,99919.2,101435.05,98729.66,101174.99,4230.35225168,68.64191785376835,2428.75
126,2024-12-09,101175.0,101290.73,94220.8,97324.81,20103.05073464,58.10078498096566,280.58000000000175
127,2024-12-10,97330.66,98338.17,94273.38,96660.76,20620.53877488,56.48950836526711,-3230.590000000011
128,2024-12-11,96660.75,101984.98,95722.79,101202.11,21190.23753294,63.86914840504174,1272.7899999999936
129,2024-12-12,101211.61,102595.0,99298.39,100030.47,14796.92456547,60.99487274604143,-1144.520000000004
130,2024-12-13,100024.75,101959.13,99220.81,101428.75,13327.59954074,63.12754437802722,4103.940000000002
131,2024-12-14,101428.74,102650.0,100600.0,101399.99,4181.40180281,63.051182790211286,4739.2300000000105
132,2024-12-15,101400.0,105100.0,101221.34,104447.76,7796.33358128,67.53320010743109,3245.649999999994
133,2024-12-16,104445.15,107857.79,103289.21,106099.81,22575.87902891,69.68016759075532,6069.3399999999965
134,2024-12-17,106099.98,108388.88,105337.97,106136.99,11994.58863972,69.72868394591576,4708.240000000005
135,2024-12-18,106145.83,106528.13,99939.82,100150.73,22294.42835455,54.5840713172968,-1249.2600000000093
136,2024-12-19,100148.6,102796.22,95539.67,97372.21,23522.12863874,49.23849975475759,-7075.549999999988
137,2024-12-20,97372.2,98132.47,92115.66,97765.0,21766.62386138,49.984204626745814,-8334.809999999998
138,2024-12-21,97762.75,99596.57,96368.0,97230.08,6451.43271418,48.93000968069381,-8906.910000000003
139,2024-12-22,97230.09,97387.98,94182.98,95087.75,4933.50127735,44.85024442457905,-5062.979999999996
140,2024-12-23,95091.15,96430.08,92360.91,94764.56,13476.98947566,44.25081592857244,-2607.6500000000087
141,2024-12-24,94767.88,99444.0,93426.25,98594.47,13355.36314305,52.37409141796505,829.4700000000012
142,2024-12-25,98594.47,99484.92,97557.48,99346.28,5254.2370598,53.797286269733966,2116.199999999997
143,2024-12-26,99358.67,99887.0,95083.93,95669.49,11403.37268934,46.48170919205238,581.7400000000052
144,2024-12-27,95669.4,97340.47,93234.31,94171.89,13169.12897588,43.8652127380854,-592.6699999999983
145,2024-12-28,94171.7,95534.17,94002.72,95130.82,2722.6591363,45.96273778909068,-3463.649999999994
146,2024-12-29,95125.59,95170.06,92841.48,93563.35,3417.52751094,43.12604856966639,-5782.929999999993
147,2024-12-30,93563.35,94910.48,91271.19,92620.71,15271.24432744,41.46853947990205,-3048.779999999999
148,2024-12-31,92620.7,96148.94,91887.13,93354.22,10348.6325655,43.29488663224739,-817.6699999999983
149,2025-01-01,93347.59,94960.91,92743.63,94383.59,6871.73848196,45.848497024435495,-747.2300000000105
150,2025-01-02,94383.59,97776.99,94177.0,96903.19,10912.47383962,51.59457159978636,3339.8399999999965
151,2025-01-03,96905.48,98969.92,96016.63,98136.51,9021.88538159,54.15873778320323,5515.799999999988
152,2025-01-04,98139.85,98761.02,97516.65,98209.85,2742.08960614,54.31372207829872,4855.630000000005
153,2025-01-05,98209.85,98814.0,97250.0,98345.33,2377.92175899,54.61895025929241,3961.7400000000052
154,2025-01-06,98347.65,102500.0,97900.0,102279.41,15173.55606778,62.46166679956065,5376.220000000001
155,2025-01-07,102279.41,102735.99,96105.11,96941.98,16587.2869223,49.869495008721984,-1194.5299999999988
156,2025-01-08,96941.98,97254.35,92500.0,95036.63,14182.29739458,46.2824972134141,-3173.220000000001
157,2025-01-09,95033.18,95363.26,91187.0,92547.44,9712.37853215,42.02929339995854,-5797.889999999999
158,2025-01-10,92547.44,95862.92,92209.25,94701.18,12634.03407823,46.60171851051676,-7578.2300000000105
159,2025-01-11,94701.48,94983.65,93804.05,94565.02,2638.69956767,46.352801288948136,-2376.959999999992
160,2025-01-12,94569.91,95383.84,93670.3,94509.62,2025.81612971,46.24456854978428,-527.0100000000093
161,2025-01-13,94507.24,95900.0,89028.64,94506.45,13094.86359481,46.23791558701743,1959.0099999999948
162,2025-01-14,94507.35,97353.29,94311.36,96534.96,11210.74226727,51.08721831922041,1833.7800000000134
163,2025-01-15,96534.97,100716.45,96400.0,100510.23,13610.74729401,58.90927811085608,5945.209999999992
164,2025-01-16,100504.27,100880.0,97277.58,99981.78,12312.37366854,57.5907972959398,5472.1600000000035
165,2025-01-17,99981.46,105970.0,99937.81,104107.0,20518.30949325,64.30670411614938,9600.550000000003
166,2025-01-18,104107.0,104933.15,102233.45,104435.0,7835.29991824,64.78422591913841,7900.039999999994
167,2025-01-19,104435.01,106314.44,99518.0,101211.13,13312.63685598,56.748108001970756,700.9000000000087
168,2025-01-20,101217.78,109358.01,99416.27,102145.43,32342.18311338,58.360161943845576,2163.649999999994
169,2025-01-21,102145.42,107291.1,100051.0,106159.26,19411.23488978,64.48438630455666,2052.2599999999948
170,2025-01-22,106159.27,106431.34,103100.0,103667.11,10730.018962,58.71062710332068,-767.8899999999994
171,2025-01-23,103659.6,106870.87,101200.01,103926.36,25064.86499945,59.12067733120033,2715.229999999996
172,2025-01-24,103926.36,107200.0,102751.92,104850.27,12921.99361413,60.62158037848158,2704.840000000011
173,2025-01-25,104866.13,105294.0,104104.0,104733.56,3404.85308291,60.3202967713917,-1425.699999999997
174,2025-01-26,104729.92,105478.8,102452.24,102563.0,4575.36611531,54.85958589492353,-1104.1100000000006
175,2025-01-27,102565.28,103228.46,97715.03,102062.42,23647.14111877,53.65325032912415,-1863.9400000000023
176,2025-01-28,102063.92,103770.85,100213.8,101290.0,9488.53429464,51.76182211650453,-3560.270000000004
177,2025-01-29,101290.01,104829.64,101275.6,103747.25,11403.20278905,56.95995160391164,-986.3099999999977
178,2025-01-30,103747.25,106484.77,103289.74,104742.64,13061.34881233,58.892395871751276,2179.6399999999994
179,2025-01-31,104742.63,106090.0,101506.0,102411.26,13313.68104489,52.90131513908847,348.8399999999965
180,2025-02-01,102414.05,102781.65,100250.0,100623.85,3390.25555744,48.80227808063501,-666.1499999999942
181,2025-02-02,100623.88,101459.84,96179.0,97676.52,10366.65062753,42.89949504042253,-6070.729999999996
182,2025-02-03,97676.53,102599.85,91178.01,101460.2,31328.72219576,51.079893163948626,-3282.4400000000023
183,2025-02-04,101460.15,101812.23,96145.76,97795.05,14168.7031661,44.4385435155861,-4616.209999999992
184,2025-02-05,97795.06,99230.49,96161.01,96638.33,9308.59185883,42.55789482174366,-3985.520000000004
185,2025-02-06,96635.62,99182.15,95674.96,96564.62,9168.94674634,42.43465490823126,-1111.9000000000087
186,2025-02-07,96575.24,100235.79,95614.96,96537.08,12171.82534167,42.38526839178825,-4923.119999999995
187,2025-02-08,96536.93,96919.05,95682.33,96476.25,2972.45715184,42.26825364755129,-1318.800000000003
188,2025-02-09,96476.24,97342.28,94730.67,96475.82,3417.87009701,42.26736533428034,-162.50999999999476
189,2025-02-10,96481.47,98367.23,95257.2,97444.41,6375.72539123,45.0678589114599,879.7900000000081
190,2025-02-11,97451.66,98500.0,94831.07,95774.08,7737.05105717,41.34337490925701,-763.0
191,2025-02-12,95770.95,98119.98,94066.92,97862.53,9078.50356189,47.21692112941587,1386.2799999999988
192,2025-02-13,97864.28,98100.0,95220.0,96625.29,6803.6078927,44.38160875546974,149.4699999999866
193,2025-02-14,96625.29,98890.11,96268.56,97509.03,7744.67640105,46.837255464776064,64.61999999999534
194,2025-02-15,97507.94,97997.85,97225.01,97596.94,1626.51929078,47.08752270743613,1822.8600000000006
195,2025-02-16,97596.54,97738.22,96057.68,96119.88,2174.29326885,43.3914122526539,-1742.6499999999942
196,2025-02-17,96119.88,97050.64,95200.0,95781.8,3533.01273263,42.5677934308052,-843.4899999999907
197,2025-02-18,95781.8,96730.0,93333.0,95607.4,8867.39878431,42.12361264072597,-1901.6300000000047
198,2025-02-19,95612.97,96880.0,95000.01,96632.03,6945.44897339,45.708037219673884,-964.9100000000035
199,2025-02-20,96632.03,98768.54,96419.07,98347.2,10582.84622768,51.160740783418774,2227.3199999999924
200,2025-02-21,98347.2,99517.52,94721.92,96157.03,19298.23921958,44.95228672391881,375.2299999999959
201,2025-02-22,96157.03,96982.52,95767.95,96582.12,7324.02366243,46.31402987304511,974.7200000000012
202,2025-02-23,96578.49,96679.93,95243.91,96265.98,3787.84705335,45.41426009257616,-366.0500000000029
203,2025-02-24,96266.23,96515.41,91300.0,91510.82,12644.0435007,34.543583241749104,-6836.37999999999
204,2025-02-25,91509.88,92549.99,85836.18,88583.74,31587.91715546,29.81291092396451,-7573.289999999994
205,2025-02-26,88583.17,89305.68,82111.12,84111.78,21568.55463119,24.330675834196,-12470.339999999997
206,2025-02-27,84111.77,86993.87,82554.11,84625.19,16836.55524727,26.012811024638893,-11640.789999999994
207,2025-02-28,84627.5,85116.19,78167.81,84297.73,30755.74245077,25.621586850368246,-7213.090000000011
208,2025-03-01,84297.74,86534.96,83772.54,86018.76,6852.5441262,31.456316064453247,-2564.9800000000105
209,2025-03-02,86018.82,95128.88,85003.35,94265.48,16751.22972996,51.207863438115965,10153.699999999997
210,2025-03-03,94265.47,94415.61,85007.01,86161.1,22691.67068614,39.24064855284867,1535.9100000000035
211,2025-03-04,86161.09,88977.27,81444.0,87249.96,23130.37098654,41.227952014866645,2952.2300000000105
212,2025-03-05,87247.93,91000.0,86329.22,90603.73,14900.93396554,46.98016963931698,4584.970000000001
213,2025-03-06,90607.73,92817.29,87790.5,89921.85,13303.43744669,45.99450362923682,-4343.62999999999
214,2025-03-07,89915.02,91280.0,84608.27,86756.98,27137.2022302,41.62891419399347,595.8799999999901
215,2025-03-08,86753.3,86863.38,85200.0,86206.69,3023.2478665,40.90196911925255,-1043.270000000004
